id,name,municipality,iata_code
43518,Centre Hospitalier Heliport,La Rochelle,
43519,Centre Hospitalier Heliport,Niort,
43520,Centre Hospitalier Heliport,Angouleme,
43521,Centre Hospitalier Heliport,Chatellerault,
43522,Berre/Marignane Seaplane Base,"Marignane, Bouches-du-Rhône",
331649,Aérodrome de Monhoudou,,
43524,Martigues Rescue Center Heliport,"Martigues, Bouches-du-Rhône",
43525,Carpentras Hospital Heliport,"Carpentras, Vaucluse",
43526,Avignon Hospital Heliport,"Avignon, Vaucluse",
43527,Pays d'Aix Medical Center Heliport,Aix-en-Provence,
43528,Centre Hospitalier Heliport,Briancon,
43529,Fréjus Saint Raphael Intercommunal Hospital Heliport,"Fréjus, Var",
43530,Grasse Hospital Heliport,"Grasse, Alpes-Maritimes",
43531,Hyères Hospital Heliport,"Hyères, Var",
43532,Gap Hospital Heliport,"Gap, Hautes-Alpes",
43533,Hôpital Jean Marcel Heliport,Brignoles,
43534,L'Archet Hospital Heliport,"Nice, Alpes-Maritimes",
43535,Marseille Hôpital La Timone Heliport,Marseille,
43536,Hôpital Lenval Heliport,Nice,
43537,Milhaud Heliport,"Toulon, Var",
43538,Nord Heliport,Marseille-Hôpital,
43539,Port Vauban Heliport,"Antibes, Alpes-Maritimes",
43540,Cannes Quai du Large Helistation,"Cannes, Alpes-Maritimes",
43541,Héli Sécurité Saint-Tropez Heliport,"Grimaud, Var",
43542,Societe Europeenne de Propulsion Heliport,Istres,
43543,Sophia Antépolis Heliport,"Valbonne, Alpes-Maritimes",
43544,Toulon Sainte-Anne Army Teaching Hospital Heliport,"Toulon, Var",
43545,Zi Les Paluds Heliport,Aubagne,
43546,Centre de Secours de Courchevel Heliport,Courchevel,
43547,Centre Hospitalier Heliport,Valence,
43548,Centre Hospitalier Heliport,Romans,
43549,Centre Hospitalier Heliport,Aubenas,
43550,Centre Hospitalier Heliport,Villefranche,
43551,Centre Hospitalier Heliport,Chambery,
43552,Centre Hospitalier Heliport,Albertville,
43553,Centre Hospitalier Heliport,Saint Chamond,
43554,Centre Hospitalier Heliport,Annonay,
43555,Centre Hospitalier Heliport,Annecy,
43556,Centre Hospitalier Heliport,Moutiers,
43557,Centre Hospitalier Heliport,Sallanches,
43558,Mont Blanc Regional Hospital Heliport,"Chamonix-Mont-Blanc, Haute-Savoie",
43559,Château De Pézay Heliport,Saint Jean D'Ardieres,
43560,Clinique Pneumologique des rieux Heliport,Nyons,
43561,Croix de Lognan Heliport,"Chamonix-Mont-Blanc, Haute-Savoie",
43562,Crs Alpes Heliport,Albertville,
43563,Flaine-Ete Heliport,Flaine,
43564,Flaine-Hiver Heliport,Flaine,
